1,clk_drv:0x00 ,q_drv:0x00 ,d_drv:0x00 ,cs0_drv:0x00 ,hd_drv:0x00 ,wp_drv:0x00,0,0,0
195,1.657 ,1.283 ,11.567 ,0.000 ,0.000 ,-0.000,0,0,0
196,1.659 ,1.300 ,11.566 ,0.000 ,0.001 ,0.000,0,0,0
197,1.643 ,1.276 ,11.569 ,-0.000 ,-0.001 ,-0.001,0,0,0
198,1.635 ,1.277 ,11.544 ,-0.001 ,0.001 ,-0.001,0,0,0
199,1.651 ,1.279 ,11.549 ,-0.000 ,-0.001 ,-0.000,0,0,0
200,1.644 ,1.278 ,11.527 ,-0.001 ,0.001 ,0.000,0,0,0
201,1.647 ,1.263 ,11.519 ,-0.001 ,-0.001 ,-0.001,0,0,0
202,1.648 ,1.276 ,11.580 ,-0.000 ,-0.001 ,-0.001,0,0,0
203,1.632 ,1.276 ,11.531 ,-0.000 ,-0.000 ,-0.001,0,0,0
204,1.647 ,1.282 ,11.566 ,-0.000 ,0.000 ,0.000,0,0,0
205,1.643 ,1.274 ,11.579 ,0.001 ,0.000 ,-0.000,0,0,0
206,1.641 ,1.273 ,11.569 ,-0.001 ,0.001 ,0.000,0,0,0
207,1.646 ,1.253 ,11.541 ,0.001 ,0.001 ,-0.001,0,0,0
208,1.645 ,1.277 ,11.566 ,0.000 ,0.000 ,0.000,0,0,0
209,1.642 ,1.264 ,11.556 ,-0.001 ,0.001 ,0.000,0,0,0
210,1.648 ,1.259 ,11.576 ,0.000 ,-0.000 ,0.001,0,0,0
211,1.643 ,1.264 ,11.526 ,0.001 ,-0.001 ,-0.001,0,0,0
212,1.660 ,1.259 ,11.556 ,0.001 ,0.000 ,0.001,0,0,0
213,1.650 ,1.266 ,11.534 ,-0.000 ,0.001 ,-0.001,0,0,0
214,1.624 ,1.288 ,11.547 ,-0.001 ,-0.001 ,-0.000,0,0,0
215,1.626 ,1.279 ,11.536 ,-0.000 ,-0.000 ,0.000,0,0,0
216,1.654 ,1.277 ,11.572 ,0.001 ,0.000 ,-0.000,0,0,0
217,1.647 ,1.271 ,11.578 ,-0.000 ,0.001 ,-0.001,0,0,0
218,1.653 ,1.285 ,11.531 ,0.000 ,-0.000 ,0.000,0,0,0
219,1.652 ,1.293 ,11.559 ,-0.000 ,0.000 ,0.000,0,0,0
220,1.630 ,1.267 ,11.538 ,0.000 ,0.001 ,-0.000,0,0,0
221,1.653 ,1.265 ,11.568 ,0.001 ,-0.000 ,-0.000,0,0,0
222,1.657 ,1.274 ,11.590 ,-0.001 ,0.000 ,-0.000,0,0,0
223,1.644 ,1.268 ,11.540 ,0.001 ,0.000 ,0.000,0,0,0
224,1.647 ,1.261 ,11.553 ,0.001 ,-0.000 ,-0.000,0,0,0
225,1.637 ,1.278 ,11.583 ,-0.000 ,0.001 ,0.001,0,0,0
226,1.642 ,1.265 ,11.555 ,0.000 ,-0.001 ,0.001,0,0,0
227,1.641 ,1.291 ,11.556 ,0.000 ,0.001 ,0.000,0,0,0
228,1.635 ,1.284 ,11.553 ,0.001 ,0.001 ,-0.001,0,0,0
229,1.666 ,1.285 ,11.548 ,0.001 ,0.000 ,-0.000,0,0,0
230,1.634 ,1.288 ,11.566 ,0.000 ,-0.001 ,0.001,0,0,0
231,1.638 ,1.292 ,11.583 ,-0.000 ,0.001 ,0.000,0,0,0
232,1.642 ,1.292 ,11.549 ,-0.001 ,-0.001 ,0.000,0,0,0
233,1.628 ,1.271 ,11.547 ,0.000 ,0.000 ,-0.000,0,0,0
234,1.654 ,1.277 ,11.571 ,0.000 ,0.000 ,-0.000,0,0,0
235,1.644 ,1.289 ,11.546 ,0.000 ,0.000 ,-0.001,0,0,0
236,1.660 ,1.276 ,11.564 ,0.000 ,-0.001 ,-0.000,0,0,0
237,1.647 ,1.282 ,11.559 ,0.000 ,-0.000 ,0.000,0,0,0
238,1.644 ,1.276 ,11.568 ,-0.000 ,-0.001 ,-0.001,0,0,0
239,1.656 ,1.280 ,11.562 ,-0.000 ,-0.001 ,0.000,0,0,0
240,1.641 ,1.288 ,11.566 ,0.001 ,-0.001 ,-0.000,0,0,0
241,1.655 ,1.266 ,11.587 ,0.001 ,-0.002 ,-0.000,0,0,0
242,1.635 ,1.301 ,11.560 ,-0.000 ,0.001 ,0.000,0,0,0
243,1.634 ,1.279 ,11.555 ,0.001 ,0.000 ,-0.000,0,0,0
244,1.640 ,1.258 ,11.566 ,0.001 ,-0.001 ,0.000,0,0,0
245,1.652 ,1.288 ,11.509 ,-0.001 ,0.000 ,0.001,0,0,0
246,1.656 ,1.270 ,11.546 ,0.001 ,-0.001 ,0.000,0,0,0
247,1.645 ,1.281 ,11.550 ,-0.001 ,-0.001 ,-0.000,0,0,0
248,1.652 ,1.291 ,11.557 ,0.000 ,0.000 ,-0.000,0,0,0
249,1.631 ,1.288 ,11.551 ,0.000 ,-0.000 ,-0.001,0,0,0
250,1.629 ,1.262 ,11.553 ,0.000 ,0.000 ,-0.000,0,0,0
251,1.641 ,1.288 ,11.554 ,-0.001 ,0.001 ,-0.001,0,0,0
252,1.640 ,1.273 ,11.583 ,-0.000 ,0.001 ,-0.000,0,0,0
253,1.645 ,1.264 ,11.556 ,0.000 ,-0.001 ,-0.000,0,0,0
254,1.621 ,1.285 ,11.599 ,-0.000 ,-0.001 ,-0.001,0,0,0
255,1.644 ,1.276 ,11.492 ,0.000 ,0.000 ,-0.000,0,0,0
256,1.650 ,1.256 ,11.550 ,0.000 ,0.000 ,-0.001,0,0,0
257,1.646 ,1.295 ,11.572 ,0.002 ,-0.001 ,-0.001,0,0,0
258,1.647 ,1.285 ,11.540 ,0.001 ,0.000 ,-0.000,0,0,0
259,1.655 ,1.285 ,11.548 ,-0.001 ,0.001 ,0.001,0,0,0
260,1.634 ,1.260 ,11.508 ,-0.000 ,-0.000 ,0.001,0,0,0
261,1.622 ,1.290 ,11.549 ,-0.001 ,0.001 ,-0.001,0,0,0
262,1.640 ,1.292 ,11.551 ,0.001 ,0.001 ,-0.000,0,0,0
263,1.639 ,1.276 ,11.536 ,-0.001 ,-0.000 ,-0.001,0,0,0
264,1.632 ,1.291 ,11.550 ,-0.001 ,-0.000 ,-0.000,0,0,0
265,1.651 ,1.270 ,11.529 ,0.000 ,-0.000 ,-0.001,0,0,0
266,1.647 ,1.286 ,11.536 ,-0.000 ,-0.001 ,-0.000,0,0,0
267,1.652 ,1.289 ,11.579 ,0.001 ,-0.001 ,-0.000,0,0,0
268,1.639 ,1.274 ,11.589 ,0.001 ,0.001 ,0.000,0,0,0
269,1.643 ,1.269 ,11.540 ,-0.000 ,-0.001 ,0.000,0,0,0
270,1.653 ,1.273 ,11.539 ,0.001 ,-0.002 ,-0.000,0,0,0
271,1.657 ,1.278 ,11.531 ,0.000 ,-0.000 ,-0.001,0,0,0
272,1.641 ,1.272 ,11.520 ,0.000 ,0.000 ,0.001,0,0,0
273,1.648 ,1.290 ,11.545 ,0.000 ,-0.001 ,0.000,0,0,0
274,1.640 ,1.273 ,11.571 ,0.001 ,-0.001 ,-0.000,0,0,0
275,1.637 ,1.285 ,11.563 ,0.000 ,0.000 ,-0.000,0,0,0
276,1.653 ,1.271 ,11.556 ,-0.000 ,0.001 ,0.001,0,0,0
277,1.639 ,1.286 ,11.584 ,0.000 ,-0.000 ,-0.000,0,0,0
278,1.643 ,1.279 ,11.562 ,-0.000 ,-0.000 ,0.001,0,0,0
279,1.642 ,1.280 ,11.578 ,-0.000 ,0.001 ,-0.001,0,0,0
280,1.660 ,1.274 ,11.553 ,-0.001 ,-0.000 ,0.000,0,0,0
281,1.643 ,1.297 ,11.538 ,0.001 ,-0.000 ,-0.000,0,0,0
282,1.613 ,1.252 ,11.545 ,0.001 ,0.001 ,0.001,0,0,0
283,1.629 ,1.282 ,11.553 ,-0.001 ,0.001 ,-0.001,0,0,0
284,1.637 ,1.267 ,11.550 ,-0.000 ,0.000 ,-0.001,0,0,0
285,1.634 ,1.277 ,11.545 ,-0.001 ,0.001 ,-0.001,0,0,0
286,1.660 ,1.277 ,11.542 ,0.000 ,-0.001 ,0.001,0,0,0
287,1.640 ,1.272 ,11.545 ,0.000 ,0.000 ,0.001,0,0,0
288,1.645 ,1.294 ,11.562 ,0.001 ,0.000 ,0.000,0,0,0
289,1.620 ,1.267 ,11.560 ,0.000 ,0.001 ,-0.000,0,0,0
290,1.649 ,1.274 ,11.539 ,0.001 ,0.000 ,-0.000,0,0,0
291,1.638 ,1.270 ,11.563 ,0.001 ,-0.001 ,0.000,0,0,0
